订阅月费：$0–30（含 $30）
订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月          服务模型                    月额度(亿)  $/MTok   置信度
----  ---------------------------------  ---------------  --------------------------  ----------  -------  ------
1     Step Plan Pro (¥199)               CNY 199          Step 3.5 Flash              346.32      0.00085  medium
2     Step Plan Pro (¥199)               CNY 199          Step 3.7 Flash              171.766     0.00171  medium
3     OpenCode Go                        USD 10           Muse Spark 1.3 Contributor  110.294     0.00091  medium
4     OpenCode Go                        USD 10           Muse Spark 1.2 Contributor  110.294     0.00091  medium
5     OpenCode Go                        USD 10           MiMo V2.5                   78.782      0.00127  medium
6     OpenCode Go                        USD 10           MiMo V2.6 Flash             78.782      0.00127  medium
7     ChatGPT Plus                       USD 20           GPT 5.6 Luna                75.11       0.00266  high
8     GLM Coding Pro (v2 ¥149) 闲时      CNY 149          GLM 5.3 Flash               74.92       0.00293  high
9     Step Plan Plus (¥99)               CNY 99           Step 3.5 Flash              69.264      0.00211  medium
10    Ollama Pro                         USD 20           DeepSeek V4.1 Flash         62.112      0.00322  medium
11    Step Plan Pro (¥199)               CNY 199          Step 5 Preview              56.637      0.00518  medium
12    GLM Coding Pro (v2 ¥149) 中间值    CNY 149          GLM 5.3 Flash               56.19       0.00391  high
13    Claude Pro                         USD 20           Claude Sonnet 5             46.95       0.00426  medium
14    Command Code GOAT                  USD 10           DeepSeek V4.1 Flash         41.408      0.00241  medium
15    Command Code GOAT                  USD 10           MiMo V2.5                   39.391      0.00254  medium
16    Command Code GOAT                  USD 10           MiMo V2.6 Flash             39.391      0.00254  medium
17    Ollama Pro                         USD 20           DeepSeek V4 Flash           38.486      0.0052   medium
18    GLM Coding Pro (v2 ¥149) 忙时      CNY 149          GLM 5.3 Flash               37.46       0.00587  high
19    Command Code GOAT                  USD 10           Muse Spark 1.3 Contributor  36.765      0.00272  medium
20    Command Code GOAT                  USD 10           Muse Spark 1.2 Contributor  36.765      0.00272  medium
21    Step Plan Plus (¥99)               CNY 99           Step 3.7 Flash              34.353      0.00425  medium
22    OpenCode Go                        USD 10           LongCat 2.0                 31.056      0.00322  medium
23    Claude Pro                         USD 20           Claude Opus 5.5             28.99       0.0069   low
24    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.6 Flash             25.28       0.00633  medium
25    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.5                   25.28       0.00633  medium
26    GLM Coding Pro (v2 ¥149) 闲时      CNY 149          GLM 5.3                     24.72       0.00889  high
27    Google AI Pro                      USD 19.99        Gemini 3.8 Flash            22.41       0.00892  high
28    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.6 Flash             20.22       0.00791  medium
29    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.5                   20.22       0.00791  medium
30    Claude Pro                         USD 20           Claude Opus 5               18.78       0.01065  high
31    Claude Pro                         USD 20           Claude Opus 4.8             18.78       0.01065  low
32    GLM Coding Pro (v2 ¥149) 中间值    CNY 149          GLM 5.3                     18.54       0.01186  high
33    MiniMax Token Plan Max             CNY 119          MiniMax M3                  18          0.00975  high
34    Command Code GOAT                  USD 10           Hy3                         17.348      0.00576  medium
35    Step Plan Mini (¥49)               CNY 49           Step 3.5 Flash              17.316      0.00417  medium
36    MiniMax Token Plan Plus (Global)   USD 22           MiniMax M3                  17          0.01294  high
37    MiniMax Token Plan Plus (Global)   USD 22           MiniMax M2.7                17          0.01294  medium
38    Ollama Pro                         USD 20           GLM 5.3 Flash               16.973      0.01178  medium
39    OpenCode Go                        USD 10           DeepSeek V4.1 Flash         15.528      0.00644  medium
40    OpenCode Go                        USD 10           Hy3                         14.87       0.00672  medium
41    OpenCode Go                        USD 10           Qwen3.8 Flash               13.876      0.00721  medium
42    OpenCode Go                        USD 10           Omen Alpha                  12.739      0.00785  medium
43    Ollama Pro                         USD 20           DeepSeek V4 Pro             12.568      0.01591  medium
44    GLM Coding Lite (v3 ¥118) 闲时     CNY 118          GLM 5.3 Flash               12.49       0.01394  high
45    GLM Coding Lite (v2 ¥49) 闲时      CNY 49           GLM 5.3 Flash               12.49       0.00579  high
46    GLM Coding Pro (v2 ¥149) 忙时      CNY 149          GLM 5.3                     12.36       0.01778  high
47    Cursor Pro (Standard)              USD 20           Composer 2.5                12.126      0.01649  medium
48    ChatGPT Plus                       USD 20           GPT 5.6 Terra               11.915      0.01679  medium
49    Step Plan Plus (¥99)               CNY 99           Step 5 Preview              11.327      0.01289  high
50    Command Code GOAT                  USD 10           GLM 5.3 Flash               11.315      0.00884  medium
51    Command Code GOAT                  USD 10           Qwen3.8 27B                 10.972      0.00911  medium
52    Command Code GOAT                  USD 10           MiMo V2.5 Pro               10.685      0.00936  medium
53    Command Code GOAT                  USD 10           MiMo V2.6 Pro               10.685      0.00936  medium
54    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.6 Pro               10.64       0.01504  medium
55    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.5 Pro               10.64       0.01504  medium
56    OpenCode Go                        USD 10           Qwen3.7 Plus                10.563      0.00947  medium
57    ChatGPT Plus                       USD 20           GPT-6 Sol                   10.48       0.01908  high
58    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）   MiMo V2.6 Flash             9.42        0.00637  medium
59    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）   MiMo V2.5                   9.42        0.00637  medium
60    GLM Coding Lite (v3 ¥118) 中间值   CNY 118          GLM 5.3 Flash               9.36        0.0186   high
61    GLM Coding Lite (v2 ¥49) 中间值    CNY 49           GLM 5.3 Flash               9.36        0.00772  high
62    Command Code GOAT                  USD 10           Qwen3.8 Flash               9.145       0.01093  medium
63    Step Plan Mini (¥49)               CNY 49           Step 3.7 Flash              8.588       0.00842  medium
64    Command Code GOAT                  USD 10           Step 3.5 Flash              8.547       0.0117   medium
65    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.6 Pro               8.51        0.0188   medium
66    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.5 Pro               8.51        0.0188   medium
67    OpenCode Go                        USD 10           MiniMax M3                  8.368       0.01195  medium
68    OpenCode Go                        USD 10           MiniMax M2.7                8.368       0.01195  medium
69    OpenCode Go                        USD 10           MiniMax M2.5                8.368       0.01195  medium
70    Ollama Pro                         USD 20           MiniMax M2.7                8.368       0.0239   medium
71    OpenCode Go                        USD 10           MiMo V2.5 Pro               8.004       0.01249  medium
72    OpenCode Go                        USD 10           MiMo V2.6 Pro               8.004       0.01249  medium
73    OpenCode Go                        USD 10           Qwen3.6 Plus                7.895       0.01267  medium
74    MiMo Token Plan Lite 日间          ¥39（国际 $6）   MiMo V2.6 Flash             7.54        0.00796  medium
75    MiMo Token Plan Lite 日间          ¥39（国际 $6）   MiMo V2.5                   7.54        0.00796  medium
76    Command Code GOAT                  USD 10           GPT 5.6 Luna                6.579       0.0152   medium
77    Command Code GOAT                  USD 10           MiniMax M3                  6.555       0.01526  medium
78    GLM Coding Lite (v3 ¥118) 忙时     CNY 118          GLM 5.3 Flash               6.24        0.0279   high
