订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月            服务模型                    月额度(亿)  $/MTok   置信度
----  ---------------------------------  -----------------  --------------------------  ----------  -------  ------
1     Step Plan Max (¥699)               CNY 699            Step 3.5 Flash              1747.49     0.00059  medium
2     ChatGPT Pro 20x                    USD 200            GPT 5.6 Luna                1502.22     0.00133  medium
3     Step Plan Max (¥699)               CNY 699            Step 3.7 Flash              877.915     0.00117  medium
4     Google AI Ultra 20x                USD 199.99         Gemini 3.8 Flash            448.2       0.00446  low
5     Claude Max 20x (9/14+)             USD 200            Claude Sonnet 5             392.5       0.0051   medium
6     ChatGPT Pro 5x                     USD 100            GPT 5.6 Luna                375.56      0.00266  medium
7     Ollama Max                         USD 100            DeepSeek V4.1 Flash         363.636     0.00275  medium
8     Step Plan Pro (¥199)               CNY 199            Step 3.5 Flash              349.498     0.00084  medium
9     Claude Max 20x (9/14+)             USD 200            Claude Opus 5.5             301.7       0.00663  medium
10    Step Plan Max (¥699)               CNY 699            Step 5 Preview              287.15      0.00359  medium
11    ChatGPT Pro 20x                    USD 200            GPT 5.6 Terra               251.589     0.00795  medium
12    Ollama Max                         USD 100            DeepSeek V4 Flash           216.372     0.00462  medium
13    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.6 Flash             213.54      0.00468  medium
14    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.5                   213.54      0.00468  medium
15    Cursor Ultra (Standard)            USD 200            Composer 2.5                198.926     0.01005  medium
16    Claude Max 5x (9/14+)              USD 100            Claude Sonnet 5             196.25      0.0051   low
17    GLM Coding Max (v3 ¥1078) 闲时     CNY 1078           GLM 5.3 Flash               179.65      0.00885  high
18    GLM Coding Max (v2 ¥469) 闲时      CNY 469            GLM 5.3 Flash               179.65      0.00385  high
19    Step Plan Pro (¥199)               CNY 199            Step 3.7 Flash              175.583     0.00167  medium
20    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.6 Flash             170.83      0.00585  medium
21    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.5                   170.83      0.00585  medium
22    Claude Max 20x (9/14+)             USD 200            Claude Opus 5               157         0.01274  medium
23    Claude Max 20x (9/14+)             USD 200            Claude Opus 4.8             157         0.01274  low
24    Claude Max 5x (9/14+)              USD 100            Claude Opus 5.5             150.852     0.00663  low
25    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078           GLM 5.3 Flash               134.73      0.0118   high
26    GLM Coding Max (v2 ¥469) 中间值    CNY 469            GLM 5.3 Flash               134.73      0.00514  high
27    ChatGPT Pro 20x                    USD 200            GPT 5.6 Sol                 129.02      0.0155   high
28    OpenCode Go                        USD 10             Muse Spark 1.3 Contributor  125         0.0008   medium
29    OpenCode Go                        USD 10             Muse Spark 1.2 Contributor  125         0.0008   medium
30    Google AI Ultra 5x                 USD 99.99          Gemini 3.8 Flash            112.05      0.00892  low
31    ChatGPT Pro 20x                    USD 200            GPT 5.5                     100.636     0.01987  medium
32    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.6 Flash             98.96       0.00505  medium
33    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.5                   98.96       0.00505  medium
34    MiniMax Token Plan Ultra (Global)  USD 132            MiniMax M3                  98          0.01347  high
35    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.6 Pro               93.29       0.01072  medium
36    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.5 Pro               93.29       0.01072  medium
37    GLM Coding Max (v3 ¥1078) 忙时     CNY 1078           GLM 5.3 Flash               89.82       0.01771  high
38    GLM Coding Max (v2 ¥469) 忙时      CNY 469            GLM 5.3 Flash               89.82       0.0077   high
39    OpenCode Go                        USD 10             MiMo V2.5                   89.286      0.00112  medium
40    OpenCode Go                        USD 10             MiMo V2.6 Flash             89.286      0.00112  medium
41    Ollama Max                         USD 100            GLM 5.3 Flash               87.655      0.01141  medium
42    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.6 Flash             79.17       0.00632  medium
43    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.5                   79.17       0.00632  medium
44    Claude Max 5x (9/14+)              USD 100            Claude Opus 5               78.5        0.01274  medium
45    Cursor Ultra                       USD 200            Grok 4.6                    77.37       0.02585  medium
46    Cursor Ultra                       USD 200            Grok 4.5                    77.37       0.02585  medium
47    GLM Coding Pro (v3 ¥538) 闲时      CNY 538            GLM 5.3 Flash               76.99       0.01031  high
48    GLM Coding Pro (v2 ¥149) 闲时      CNY 149            GLM 5.3 Flash               76.99       0.00285  high
49    ChatGPT Plus                       USD 20             GPT 5.6 Luna                75.11       0.00266  high
50    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.6 Pro               74.63       0.0134   medium
51    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.5 Pro               74.63       0.0134   medium
52    Ollama Pro                         USD 20             DeepSeek V4.1 Flash         72.727      0.00275  medium
53    MiniMax Token Plan Ultra           CNY 469            MiniMax M3                  71          0.00974  high
54    Cursor Ultra (Composer Fast)       USD 200            Composer 2.5                70.587      0.02833  medium
55    Ollama Max                         USD 100            DeepSeek V4 Pro             70.472      0.01419  medium
56    Step Plan Plus (¥99)               CNY 99             Step 3.5 Flash              69.9        0.00209  medium
57    SuperGrok Heavy                    USD 300            Grok 4.7                    67.2        0.04464  medium
58    ChatGPT Pro 5x                     USD 100            GPT 5.6 Terra               60.06       0.01665  medium
