Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee     Served model                Monthly tokens (B)  USD/MTok  Confidence
---  -------------------------------------  --------------  --------------------------  ------------------  --------  ----------
1    Step Plan Max (¥699)                   CNY 699         Step 3.5 Flash              174.749             0.00059   medium
2    OpenCode Go                            USD 10          Muse Spark 1.3 Contributor  12.5                0.0008    medium
3    OpenCode Go                            USD 10          Muse Spark 1.2 Contributor  12.5                0.0008    medium
4    Step Plan Pro (¥199)                   CNY 199         Step 3.5 Flash              34.9498             0.00084   medium
5    OpenCode Go                            USD 10          MiMo V2.5                   8.9286              0.00112   medium
6    OpenCode Go                            USD 10          MiMo V2.6 Flash             8.9286              0.00112   medium
7    Step Plan Max (¥699)                   CNY 699         Step 3.7 Flash              87.7915             0.00117   medium
8    ChatGPT Pro 20x                        USD 200         GPT 5.6 Luna                150.222             0.00133   medium
9    Step Plan Pro (¥199)                   CNY 199         Step 3.7 Flash              17.5583             0.00167   medium
10   Command Code GOAT                      USD 10          DeepSeek V4.1 Flash         4.8485              0.00206   medium
11   Step Plan Plus (¥99)                   CNY 99          Step 3.5 Flash              6.99                0.00209   medium
12   Command Code GOAT                      USD 10          MiMo V2.5                   4.4643              0.00224   medium
13   Command Code GOAT                      USD 10          MiMo V2.6 Flash             4.4643              0.00224   medium
14   Command Code GOAT                      USD 10          Muse Spark 1.3 Contributor  4.1667              0.0024    medium
15   Command Code GOAT                      USD 10          Muse Spark 1.2 Contributor  4.1667              0.0024    medium
16   ChatGPT Plus                           USD 20          GPT 5.6 Luna                7.511               0.00266   high
17   ChatGPT Pro 5x                         USD 100         GPT 5.6 Luna                37.556              0.00266   medium
18   OpenCode Go                            USD 10          LongCat 2.0                 3.6364              0.00275   medium
19   Ollama Pro                             USD 20          DeepSeek V4.1 Flash         7.2727              0.00275   medium
20   Ollama Max                             USD 100         DeepSeek V4.1 Flash         36.3636             0.00275   medium
21   GLM Coding Pro (v2 ¥149) Off-peak      CNY 149         GLM 5.3 Flash               7.699               0.00285   high
22   Step Plan Max (¥699)                   CNY 699         Step 5 Preview              28.715              0.00359   medium
23   GLM Coding Pro (v2 ¥149) Midpoint      CNY 149         GLM 5.3 Flash               5.774               0.00381   high
24   GLM Coding Max (v2 ¥469) Off-peak      CNY 469         GLM 5.3 Flash               17.965              0.00385   high
25   Step Plan Mini (¥49)                   CNY 49          Step 3.5 Flash              1.7475              0.00414   medium
26   Step Plan Plus (¥99)                   CNY 99          Step 3.7 Flash              3.5117              0.00416   medium
27   Claude Pro                             USD 20          Claude Sonnet 5             4.695               0.00426   medium
28   Google AI Ultra 20x                    USD 199.99      Gemini 3.8 Flash            44.82               0.00446   low
29   Ollama Pro                             USD 20          DeepSeek V4 Flash           4.3274              0.00462   medium
30   Ollama Max                             USD 100         DeepSeek V4 Flash           21.6372             0.00462   medium
31   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.5                   21.354              0.00468   medium
32   MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.5                   9.896               0.00505   medium
33   Claude Max 20x (9/14+)                 USD 200         Claude Sonnet 5             39.25               0.0051    medium
34   Claude Max 5x (9/14+)                  USD 100         Claude Sonnet 5             19.625              0.0051    low
35   Step Plan Pro (¥199)                   CNY 199         Step 5 Preview              5.743               0.00511   medium
36   GLM Coding Max (v2 ¥469) Midpoint      CNY 469         GLM 5.3 Flash               13.473              0.00514   high
37   OpenCode Go                            USD 10          DeepSeek V4.1 Flash         1.8182              0.0055    medium
38   MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.5                   2.865               0.00558   medium
39   Command Code GOAT                      USD 10          Hy3                         1.7873              0.0056    medium
40   MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.5                   1.068               0.00562   medium
41   GLM Coding Lite (v2 ¥49) Off-peak      CNY 49          GLM 5.3 Flash               1.283               0.00563   high
42   GLM Coding Pro (v2 ¥149) Peak          CNY 149         GLM 5.3 Flash               3.85                0.00571   high
43   MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.5                   17.083              0.00585   medium
44   MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.5                   7.917               0.00632   medium
45   OpenCode Go                            USD 10          Hy3                         1.532               0.00653   medium
46   MiMo V2.6 Flash API                    Pay-as-you-go   MiMo V2.6 Flash             -                   0.00672   high
47   OpenCode Go                            USD 10          Qwen3.8 Flash               1.4656              0.00682   medium
48   MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.5                   2.292               0.00698   medium
49   MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.5                   0.854               0.00703   medium
50   GLM Coding Lite (v2 ¥49) Midpoint      CNY 49          GLM 5.3 Flash               0.962               0.00751   high
51   OpenCode Go                            USD 10          Omen Alpha                  1.3155              0.0076    medium
52   GLM Coding Max (v2 ¥469) Peak          CNY 469         GLM 5.3 Flash               8.982               0.0077    high
53   Command Code GOAT                      USD 10          MiMo V2.5 Pro               1.2573              0.00795   medium
54   Command Code GOAT                      USD 10          MiMo V2.6 Pro               1.2573              0.00795   medium
55   ChatGPT Pro 20x                        USD 200         GPT 5.6 Terra               25.1589             0.00795   medium
56   Step Plan Mini (¥49)                   CNY 49          Step 3.7 Flash              0.8779              0.00823   medium
57   DeepSeek V4.1 Flash API Off-peak       Pay-as-you-go   DeepSeek V4.1 Flash         -                   0.00825   high
58   Command Code GOAT                      USD 10          Qwen3.8 27B                 1.2048              0.0083    medium
59   Command Code GOAT                      USD 10          GLM 5.3 Flash               1.1687              0.00856   medium
